Drug,Class,Biomarker,Labeling Sections
Succimer,Hematology,G6PD,Clinical Pharmacology
Succinylcholine,Anesthesiology,BCHE,"Warnings, Precautions"
Sulfadiazine,Infectious Diseases,G6PD,Warnings
Sulfamethoxazole and Trimethoprim (1),Infectious Diseases,G6PD,Precautions
Sulfamethoxazole and Trimethoprim (2),Infectious Diseases,Nonspecific (NAT),Precautions
Sulfasalazine (1),Gastroenterology,G6PD,Precautions
Sulfasalazine (2),Gastroenterology,Nonspecific (NAT),Clinical Pharmacology
Tafenoquine,Infectious Diseases,G6PD,"Dosage and Administration, Contraindications, Warnings and Precautions, Use in Specific Populations, Patient Counseling Information"
Talazoparib (1),Oncology,BRCA,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Talazoparib (2),Oncology,ERBB2  (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Tamoxifen (1),Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Tamoxifen (2),Oncology,F5 (Factor V Leiden),Warnings and Precautions
Tamoxifen (3),Oncology,F2 (Prothrombin),Warnings and Precautions
Tamoxifen (4),Oncology,CYP2D6,Clinical Pharmacology
Tamsulosin,Urology,CYP2D6,"Warnings and Precautions, Adverse Interactions, Clinical Pharmacology"
Telaprevir,Infectious Diseases,IFNL3 (IL28B),"Clinical Pharmacology, Clinical Studies"
Tetrabenazine,Neurology,CYP2D6,"Dosage and Administration, Warnings and Precautions, Use in Specific Populations, Clinical Pharmacology"
Thioguanine (1),Oncology,TPMT,"Dosage and Administration, Warnings, Precautions, Clinical Pharmacology"
Thioguanine (2),Oncology,NUDT15,"Dosage and Administration, Warnings, Precautions, Clinical Pharmacology"
Thioridazine ,Psychiatry,CYP2D6,"Contraindications, Warnings, Precautions"
Ticagrelor,Cardiology,CYP2C19,Clinical Pharmacology
Tolazamide,Endocrinology,G6PD,Precautions
Tolbutamide,Endocrinology,G6PD,Precautions
Tolterodine,Urology,CYP2D6,"Warnings and Precautions, Drug Interactions, Clinical Pharmacology"
Toremifene,Oncology,ESR  (Hormone Receptor),"Indications and Usage, Clinical Studies"
Tramadol,Anesthesiology,CYP2D6,"Boxed Warning, Warnings, Precautions, Use in Specific Populations, Clinical Pharmacology"
Trametinib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies, Patient Counseling Information"
Trametinib (2),Oncology,G6PD,Adverse Reactions
Trametinib (3),Oncology,RAS,Warnings and Precautions
Trastuzumab (1),Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Clinical Pharmacology, Clinical Studies"
Trastuzumab (2),Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Tretinoin,Oncology,PML-RARA,"Indications and Usage, Warnings, Clinical Pharmacology"
Trimipramine,Psychiatry,CYP2D6,Precautions
Umeclidinium,Pulmonary,CYP2D6,Clinical Pharmacology
Ustekinumab,Dermatology and Gastroenterology,"IL12A, IL12B, IL23A",Warnings and Precautions
Valbenazine,Neurology,CYP2D6,"Dosage and Administration, Warnings and Precautions, Use in Specific Populations, Clinical Pharmacology"
Valproic Acid (1),Neurology,POLG,"Boxed Warning, Contraindications, Warnings and Precautions"
Valproic Acid (2),Neurology,Nonspecific (Urea Cycle Disorders),"Contraindications, Warnings and Precautions"
Vemurafenib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies, Patient Counseling Information"
Vemurafenib (2),Oncology,RAS,"Warnings and Precautions, Adverse Reactions"
Venetoclax (1),Oncology,Chromosome 17p,"Indications and Usage, Clinical Studies"
Venetoclax (2),Oncology,Chromosome 11q,Clinical Studies
Venetoclax (3),Oncology,TP53,Clinical Studies
Venetoclax (4),Oncology,IDH1,Clinical Studies
Venetoclax (5),Oncology,IDH2,Clinical Studies
Venetoclax (6),Oncology,IGH,Clinical Studies
Venetoclax (7),Oncology,NPM1,Clinical Studies
Venlafaxine,Psychiatry,CYP2D6,"Drug Interactions, Use in Specific Populations, Clinical Pharmacology"
Vincristine,Oncology,BCR-ABL1  (Philadelphia chromosome),"Indications and Usage, Adverse Reactions, Clinical Studies"
Voriconazole,Infectious Diseases,CYP2C19,Clinical Pharmacology
Vortioxetine,Psychiatry,CYP2D6,"Dosage and Administration, Clinical Pharmacology"
Warfarin (1),Hematology,CYP2C9,"Dosage and Administration, Drug Interactions, Clinical Pharmacology"
Warfarin (2),Hematology,VKORC1,"Dosage and Administration, Clinical Pharmacology"
Warfarin (3),Hematology,PROS1,Warnings and Precautions
Warfarin (4),Hematology,PROC,Warnings and Precautions
